StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;nor_LeadTime;GlobalObjExitTardiness
1;3;3;1667.8378;8339.189;655.6208;42755.1902;18.4033;6617.2075;485.645;31397.1475;3;3;291.387;20862.483;-20708.613
2;2;3;1964.0983;9820.4915;3543.8452;44135.6633;18.8727;6558.1434;2362.5635;29579.2931;3;1;291.387;20862.483;-20708.613
3;3;1;1638.4939;8015.2772;4373.272;39361.4508;17.1814;6285.1844;3180.3967;28951.0856;4;1;1117.5317;20036.3383;-21882.4683
4;2;4;1921.1851;9444.7295;7626.0312;40429.2392;17.5841;6217.148;5024.9567;27174.562;4;1;1117.5317;20036.3383;-21882.4683
5;3;1;1645.011;7843.7534;7929.9316;35976.3151;15.9204;5987.8276;5687.8588;26657.6469;3;1;1919.8258;19234.0442;-21746.8408
6;2;3;1794.1098;8734.3529;11490.3457;37025.3015;16.8143;5920.4692;7592.194;24820.6701;3;0;1919.8258;19234.0442;-21746.8408
7;3;0;1657.5597;7704.4216;11341.4108;32704.1676;14.6941;5704.5915;8020.4215;24524.987;3;0;2700.0261;18453.8439;-21299.9739
8;2;3;1669.7616;8037.6121;15096.0073;33866.3806;16.0288;5638.1421;10055.7105;22556.1474;3;4;2700.0261;18453.8439;-21299.9739
9;3;4;1674.3518;7589.034;14627.4197;29533.5463;13.5;5433.882;10193.5938;22539.1909;1;4;3460.236;17693.634;-20739.764
10;2;1;1552.4318;7375.9627;18359.228;31014.8094;15.2593;5369.7721;12359.2005;20437.6941;1;0;3460.236;17693.634;-20739.764
11;3;0;1662.5724;7541.9163;18301.3871;25906.6966;12.1293;5139.122;12590.0328;20270.8452;3;0;4239.1883;16914.6817;-20094.145
12;2;3;1449.9677;6788.6423;21125.7845;28585.5732;14.5674;5079.9673;14400.37;18519.6627;3;2;4239.1883;16914.6817;-20094.145
13;3;2;1637.9611;7443.4713;21938.7431;22367.7856;10.7917;5151.3878;14900.1976;17948.4146;1;2;5026.526;16127.344;-19402.0454
14;2;1;1339.1037;6194.4251;23165.9566;26639.6183;14.7842;5101.134;16026.3483;16872.5176;1;3;5026.526;16127.344;-19402.0454
15;3;3;1589.3743;7249.1241;25527.01;18973.8659;9.5138;5035.8284;17103.1694;15861.0023;1;3;5816.3775;15337.4925;-18683.6225
16;2;1;1390.3996;6399.6088;25237.3604;24363.0308;13.4078;4982.0963;17720.6265;15297.2772;1;1;5816.3775;15337.4925;-18683.6225
17;3;1;1558.2406;6963.393;28988.9478;15797.6592;8.3334;4796.392;19158.2995;13961.9752;2;1;6601.6663;14552.2037;-17953.8892
18;2;2;1340.7011;6200.8147;29274.7096;20524.4757;11.6399;4725.5613;20044.5858;13146.5196;2;1;6601.6663;14552.2037;-17953.8892
19;2;1;1340.7011;6125.8147;29246.905;20627.2803;11.6871;4987.9505;21069.5858;12900.7971;1;1;6601.6663;14552.2037;-17953.8892
20;3;1;1668.2686;7191.0128;32818.7435;14615.2437;7.7986;4751.3317;20965.4978;12199.8372;3;1;7371.8686;13782.0014;-17228.1314
21;2;3;1265.7011;5750.8147;28919.9364;18454.2489;10.6486;4726.3317;21485.5962;11704.7387;3;3;7371.8686;13782.0014;-17228.1314
22;2;4;1378.1347;6125.5488;28667.9678;18581.4834;10.1435;4926.3799;22498.1184;11533.8351;4;3;7371.8686;13782.0014;-17228.1314
23;3;3;1641.0763;7082.2438;38150.5498;12017.2064;7.0364;4690.1235;22706.5939;10519.9493;3;3;8130.9013;13022.9687;-16505.4624
24;2;3;1303.1347;5750.5488;28115.9993;16633.452;9.1925;4665.1235;22864.1289;10387.4143;3;0;8130.9013;13022.9687;-16505.4624
25;3;0;1565.315;6779.1984;41165.7769;9055.0248;5.9249;4580.7639;24051.8149;10075.7546;3;0;8863.936;12289.934;-15802.7307
26;2;3;1437.5208;6213.0932;28831.6263;18330.2804;10.4568;4555.7639;24051.8149;10100.7546;3;1;8863.936;12289.934;-15802.7307
27;3;1;1565.315;6704.1984;42665.7769;7630.0248;5.36;4750.0119;24360.5521;9681.1027;1;1;9530.35;11623.52;-15008.1115
28;2;1;1437.5208;6138.0932;28182.8381;19054.0686;10.699;4725.0119;24360.5521;9706.1027;1;3;9530.35;11623.52;-15008.1115
29;3;3;1565.315;6629.1984;44165.7769;6205.0248;4.7825;4600.0119;24630.2472;8603.0743;1;3;10144.4192;11009.4508;-14284.1522
30;2;1;1362.5208;5763.0932;27341.9233;17394.9834;9.8108;4575.0119;24630.2472;8628.0743;1;4;10144.4192;11009.4508;-14284.1522
31;3;4;1565.315;6554.1984;45665.7769;4780.0248;4.1926;4450.0119;24849.9423;7575.0459;3;4;10716.6125;10437.2575;-13616.7209
32;2;3;1287.5208;5388.0932;26351.0085;15885.8982;8.9727;4425.0119;24849.9423;7600.0459;3;3;10716.6125;10437.2575;-13616.7209
33;3;3;1565.315;6479.1984;47165.7769;3355.0248;3.5902;4520.4424;25039.8299;7398.061;1;3;11254.7816;9899.0884;-12995.2184
34;2;1;1450.1686;5994.7834;25477.2203;16652.9962;8.6509;4505.8087;25039.8299;7412.6947;1;2;11254.7816;9899.0884;-12995.2184
35;3;2;1571.5261;6466.3532;47919.5736;2614.0732;3.2734;4442.9923;24711.9296;6928.4114;1;2;11747.3731;9406.4969;-12311.4504
36;2;1;1409.1752;5789.8167;23717.199;15992.9843;8.2184;4429.3279;24753.774;6900.2315;1;4;11747.3731;9406.4969;-12311.4504
